fonte,quantiade,valor,data_negociacao,tipo_de_ordem,IRRF
ITUB4,100,1.50,20230403,juros_de_capital_proprio,0
ITSA4,1760,35.20,20230403,juros_de_capital_proprio,0
BBAS3,100,29.92,20230331,juros_de_capital_proprio,0
ITUB4,100,41.32,20230310,juros_de_capital_proprio,0
ITSA4,1760,210.94,20230310,juros_de_capital_proprio,0
BBAS3,100,0.40,20230303,rendimentos,0.11
BBAS3,100,0.98,20230303,rendimentos,0.28
BBAS3,100,48.75,20230303,juros_de_capital_proprio,0
BBAS3,100,23.54,20230303,dividendos,0
ITUB4,100,1.50,20230301,juros_de_capital_proprio,0
IRBR3,0,7.41,20230224,pagamento_de_fracoes,0
ITUB4,100,1.50,20230201,juros_de_capital_proprio,0
TAEE3,300,133.52,20230123,dividendos,0
ITUB4,100,1.50,20230102,juros_de_capital_proprio,0
ITSA4,1760,35.20,20230102,juros_de_capital_proprio,0
BBAS3,100,29.37,20221229,juros_de_capital_proprio,0
TAEE3,300,51.03,20221205,juros_de_capital_proprio,0
TAEE3,300,32.91,20221205,dividendos,0
TAEE3,300,13.10,20221205,dividendos,0
BBAS3,100,53.93,20221130,juros_de_capital_proprio,0
BBAS3,100,17.02,20221130,dividendos,0
